Timestamp: 2025-03-31T11:31:47, LR: 0.00767, Batch Size: 16
Timestamp: 2025-04-01T08:58:23, LR: 0.00744, Batch Size: 16
Timestamp: 2025-04-01T11:18:53, LR: 0.00130, Batch Size: 8
Timestamp: 2025-04-02T17:05:59, LR: 0.00528, Batch Size: 64
Timestamp: 2025-04-02T20:18:24, LR: 0.00624, Batch Size: 64
Timestamp: 2025-04-04T14:59:26, LR: 0.00911, Batch Size: 8
Timestamp: 2025-04-05T05:00:49, LR: 0.00893, Batch Size: 32
Timestamp: 2025-04-05T17:33:47, LR: 0.00933, Batch Size: 32
Timestamp: 2025-04-05T23:40:44, LR: 0.00593, Batch Size: 32
Timestamp: 2025-04-09T00:03:46, LR: 0.00377, Batch Size: 64
Timestamp: 2025-04-09T12:28:27, LR: 0.00687, Batch Size: 16
Timestamp: 2025-04-09T20:01:12, LR: 0.00803, Batch Size: 32
Timestamp: 2025-04-10T00:11:38, LR: 0.00273, Batch Size: 32
Timestamp: 2025-04-10T20:12:47, LR: 0.00804, Batch Size: 64
Timestamp: 2025-04-11T13:09:03, LR: 0.00296, Batch Size: 8
Timestamp: 2025-04-11T15:12:30, LR: 0.00515, Batch Size: 16
Timestamp: 2025-04-11T16:22:39, LR: 0.00680, Batch Size: 32
Timestamp: 2025-04-13T20:44:46, LR: 0.00762, Batch Size: 16
Timestamp: 2025-04-14T02:31:15, LR: 0.00201, Batch Size: 32
Timestamp: 2025-04-14T13:29:03, LR: 0.00953, Batch Size: 32
Timestamp: 2025-04-14T23:49:54, LR: 0.00684, Batch Size: 8
Timestamp: 2025-04-16T02:17:35, LR: 0.00550, Batch Size: 32
Timestamp: 2025-04-16T07:29:49, LR: 0.00080, Batch Size: 16
Timestamp: 2025-04-16T15:27:56, LR: 0.00031, Batch Size: 8
Timestamp: 2025-04-16T23:14:13, LR: 0.00052, Batch Size: 64
Timestamp: 2025-04-17T01:33:19, LR: 0.00922, Batch Size: 32
Timestamp: 2025-04-17T06:30:57, LR: 0.00935, Batch Size: 32
Timestamp: 2025-04-17T06:36:42, LR: 0.00853, Batch Size: 8
Timestamp: 2025-04-18T10:44:32, LR: 0.00525, Batch Size: 64
Timestamp: 2025-04-18T14:27:49, LR: 0.00542, Batch Size: 64
Timestamp: 2025-04-18T19:31:01, LR: 0.00797, Batch Size: 64
Timestamp: 2025-04-19T00:55:55, LR: 0.00633, Batch Size: 32
Timestamp: 2025-04-19T14:42:55, LR: 0.00072, Batch Size: 64
Timestamp: 2025-04-20T05:52:39, LR: 0.00484, Batch Size: 8
Timestamp: 2025-04-20T14:54:27, LR: 0.00821, Batch Size: 16
Timestamp: 2025-04-22T03:15:14, LR: 0.00443, Batch Size: 16
Timestamp: 2025-04-22T10:13:26, LR: 0.00660, Batch Size: 8
Timestamp: 2025-04-22T15:59:53, LR: 0.00458, Batch Size: 8
Timestamp: 2025-04-23T14:35:07, LR: 0.00209, Batch Size: 16
Timestamp: 2025-04-24T12:52:31, LR: 0.00370, Batch Size: 32
Timestamp: 2025-04-24T21:19:15, LR: 0.00340, Batch Size: 8
Timestamp: 2025-04-25T02:17:17, LR: 0.00398, Batch Size: 64
Timestamp: 2025-04-25T05:46:03, LR: 0.00717, Batch Size: 16
Timestamp: 2025-04-25T13:10:48, LR: 0.00305, Batch Size: 16
Timestamp: 2025-04-25T21:26:58, LR: 0.00905, Batch Size: 16
Timestamp: 2025-04-26T14:35:34, LR: 0.00447, Batch Size: 16
Timestamp: 2025-04-28T09:49:45, LR: 0.00157, Batch Size: 16
Timestamp: 2025-04-29T00:34:31, LR: 0.00785, Batch Size: 8
Timestamp: 2025-04-29T11:10:49, LR: 0.00978, Batch Size: 8
Timestamp: 2025-04-29T18:18:16, LR: 0.00268, Batch Size: 32
Timestamp: 2025-04-29T18:39:22, LR: 0.00378, Batch Size: 64
Timestamp: 2025-04-30T00:29:45, LR: 0.00422, Batch Size: 16
Timestamp: 2025-04-30T09:37:44, LR: 0.00817, Batch Size: 64
Timestamp: 2025-04-30T18:43:31, LR: 0.00317, Batch Size: 16
Timestamp: 2025-05-01T01:50:12, LR: 0.00716, Batch Size: 8
Timestamp: 2025-05-02T09:48:44, LR: 0.00330, Batch Size: 16
Timestamp: 2025-05-03T09:39:34, LR: 0.00843, Batch Size: 16
Timestamp: 2025-05-03T14:08:15, LR: 0.00165, Batch Size: 32
Timestamp: 2025-05-04T04:23:04, LR: 0.00695, Batch Size: 8
Timestamp: 2025-05-04T12:52:21, LR: 0.00890, Batch Size: 16
Timestamp: 2025-05-05T21:14:33, LR: 0.00426, Batch Size: 64
Timestamp: 2025-05-05T23:23:01, LR: 0.00331, Batch Size: 8
Timestamp: 2025-05-06T08:01:08, LR: 0.00911, Batch Size: 8
Timestamp: 2025-05-06T13:10:08, LR: 0.00188, Batch Size: 64
Timestamp: 2025-05-06T19:52:07, LR: 0.00016, Batch Size: 16
Timestamp: 2025-05-07T01:05:53, LR: 0.00563, Batch Size: 16
Timestamp: 2025-05-07T05:35:50, LR: 0.00651, Batch Size: 32
Timestamp: 2025-05-07T13:59:43, LR: 0.00917, Batch Size: 32
Timestamp: 2025-05-08T04:04:21, LR: 0.00082, Batch Size: 8
Timestamp: 2025-05-09T17:52:09, LR: 0.00037, Batch Size: 64
Timestamp: 2025-05-11T04:26:23, LR: 0.00749, Batch Size: 8
Timestamp: 2025-05-12T02:49:46, LR: 0.00875, Batch Size: 8
Timestamp: 2025-05-12T08:44:57, LR: 0.00272, Batch Size: 8
Timestamp: 2025-05-13T19:50:06, LR: 0.00448, Batch Size: 8
Timestamp: 2025-05-14T03:21:33, LR: 0.00957, Batch Size: 32
Timestamp: 2025-05-15T11:32:35, LR: 0.00739, Batch Size: 32
Timestamp: 2025-05-15T14:19:02, LR: 0.00024, Batch Size: 16
Timestamp: 2025-05-16T09:52:03, LR: 0.00225, Batch Size: 64
Timestamp: 2025-05-16T17:27:27, LR: 0.00282, Batch Size: 16
Timestamp: 2025-05-18T02:21:30, LR: 0.00115, Batch Size: 32
Timestamp: 2025-05-18T03:52:20, LR: 0.00365, Batch Size: 64
Timestamp: 2025-05-18T15:24:28, LR: 0.00739, Batch Size: 16
Timestamp: 2025-05-19T23:46:33, LR: 0.00344, Batch Size: 64
Timestamp: 2025-05-20T19:56:44, LR: 0.00273, Batch Size: 8
Timestamp: 2025-05-20T20:42:12, LR: 0.00122, Batch Size: 32
Timestamp: 2025-05-21T02:07:03, LR: 0.00011, Batch Size: 8
Timestamp: 2025-05-21T04:21:01, LR: 0.00197, Batch Size: 32
Timestamp: 2025-05-22T06:07:13, LR: 0.00946, Batch Size: 32
Timestamp: 2025-05-23T02:00:01, LR: 0.00740, Batch Size: 8
Timestamp: 2025-05-25T01:13:47, LR: 0.00876, Batch Size: 64
Timestamp: 2025-05-25T18:39:11, LR: 0.00146, Batch Size: 32
Timestamp: 2025-05-27T14:19:39, LR: 0.00252, Batch Size: 64
Timestamp: 2025-05-29T14:20:21, LR: 0.00697, Batch Size: 32
Timestamp: 2025-05-30T10:04:49, LR: 0.00527, Batch Size: 64
Timestamp: 2025-05-30T12:02:21, LR: 0.00724, Batch Size: 32
Timestamp: 2025-05-30T14:10:59, LR: 0.00637, Batch Size: 32
Timestamp: 2025-05-30T20:19:26, LR: 0.00863, Batch Size: 8
Timestamp: 2025-05-31T20:37:46, LR: 0.00113, Batch Size: 8
Timestamp: 2025-06-01T02:44:00, LR: 0.00874, Batch Size: 32
Timestamp: 2025-06-01T13:04:59, LR: 0.00169, Batch Size: 32
